,sample,genome_position,time,true_location_0,true_location_1,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_200_estimated_location_0,window_200_variance_in_estimated_location_0,window_200_estimated_location_1,window_200_variance_in_estimated_location_1
278,527,713613.6067612313,1904,23.537590457657547,99.72676950847696,713613.6067612313,38.34745168094722,153.2801085256978,72.35654671220557,153.2801085256978,36.423024368284324,574.1421442374568,91.92204542212261,574.1421442374568,43.26397722762058,544.1158485984153,87.53284338885875,544.1158485984153,42.46603239503504,462.3555789154136,83.01188242284795,462.3555789154136
279,484,777121.899769673,607,23.10152872182331,75.50960243696468,777121.899769673,33.068903148047234,44.21250488597395,64.65340738790937,44.21250488597395,38.671484283663396,201.4999712387452,74.77652813811045,201.4999712387452,31.82472057874535,178.00553982078594,74.18958692155677,178.00553982078594,29.22880761717541,168.8701713724362,75.46353990434487,168.8701713724362
280,358,320233.4162002384,873,49.879419455452826,62.11766707021103,320233.4162002384,46.700017841402996,59.0561378906373,54.61786931273579,59.0561378906373,63.08005166046745,176.3273941242169,71.30820803217094,176.3273941242169,55.320306020056925,129.85885837136863,59.4368163701984,129.85885837136863,53.88964988207416,124.67516007533872,59.51769715291514,124.67516007533872
281,797,864713.3909011431,673,71.41020721533398,21.35716070227731,864713.3909011431,65.60760195161525,58.09354925795363,36.95102499098086,58.09354925795363,74.21615524854633,140.28818428729718,34.752144865862576,140.28818428729718,72.07733133460762,125.74917516769409,35.977512380913325,125.74917516769409,70.81549440764243,123.37438065973635,36.950391895855454,123.37438065973635
282,611,820051.128377521,879,32.386199040382536,42.5132069155032,820051.128377521,40.15894279207361,34.72934723435745,45.63146074673811,34.72934723435745,42.11930195361689,98.9077209815692,47.43406175876664,98.9077209815692,41.71335686820818,79.93938700056475,50.486670696493526,79.93938700056475,41.193800373483455,62.57954684061793,45.96599238490738,62.57954684061793
283,57,107383.32183834475,1363,69.51739697432274,60.781423456593,107383.32183834475,63.128112059199296,102.8656138088441,55.1601916004973,102.8656138088441,66.898095380658,259.4784649499061,45.330698693517185,259.4784649499061,68.8414516786518,204.35487383773483,42.321688278201236,204.35487383773483,66.14015695849002,194.77224932851112,41.16032123854317,194.77224932851112
284,740,715803.5141207764,995,18.662417872533297,14.426285812062172,715803.5141207764,36.754934566903536,64.61879774768411,35.79738108298798,64.61879774768411,34.069165301117806,415.76734440780933,41.87890020544328,415.76734440780933,33.87285392557432,396.3755139799178,37.84522276679619,396.3755139799178,24.821318389879767,228.82135467525723,28.13505887773583,228.82135467525723
285,743,437240.72330421925,731,66.70183441502745,17.68021903840059,437240.72330421925,54.603597083110756,38.95590711784264,34.98518652298919,38.95590711784264,64.9252703547728,102.03275058934722,19.468913084031453,102.03275058934722,62.37082127083883,78.55594603609555,30.38732009545714,78.55594603609555,58.14937848010613,54.14577098832598,32.75527964844578,54.14577098832598
286,71,157715.38452006085,391,80.54062310294421,81.12372157595901,157715.38452006085,77.121583628313,43.59525901893124,75.15147313372485,43.59525901893124,80.85911888930595,73.6091509281008,78.41578419628085,73.6091509281008,80.6180988426165,62.2184099567956,79.03052806219256,62.2184099567956,78.56890071406848,57.6639594047162,75.90494899875323,57.6639594047162
287,562,757165.2704606198,590,28.086364559324146,15.330879899120692,757165.2704606198,28.44406755266195,44.26753210012224,30.454911817455557,44.26753210012224,26.600541121732235,172.42806056704612,20.143025967669804,172.42806056704612,26.628572974124264,96.52913852661871,27.577368424288082,96.52913852661871,25.570135158751757,76.22288456492502,35.25037334830377,76.22288456492502
288,203,5008.533489389677,1494,27.96254314666245,76.82651457999894,5008.533489389677,39.23942660411062,111.53920260052999,72.53928421982852,111.53920260052999,37.12048550102277,338.00149574125965,82.33053476059317,338.00149574125965,35.93092546411754,240.91237104719164,81.75000489728932,240.91237104719164,34.16580941834299,208.16437060379099,83.66649674216714,208.16437060379099
289,599,429644.09831494524,1570,60.09479646893796,3.9300231765945655,429644.09831494524,60.96628359474507,217.8398384271802,31.1337498113612,217.8398384271802,69.20822607899764,319.70049550398625,21.41189594775031,319.70049550398625,65.28593477889243,293.8632748096445,28.309431676944925,293.8632748096445,64.4079429900076,255.11254907826284,27.309198762810304,255.11254907826284
290,43,762973.1799162913,350,45.274258647027374,24.910634507228664,762973.1799162913,41.614737228877836,45.174681043127144,32.70872142839483,45.174681043127144,41.07690770475164,72.46037801977721,26.07140572913655,72.46037801977721,39.04319707555684,56.79468304337897,28.504948501522975,56.79468304337897,38.641932080862915,56.41098419721934,29.00147486417987,56.41098419721934
291,165,796677.004420082,738,7.76709998305439,44.13899957522776,796677.004420082,28.64196512265985,41.27529532993497,46.83931728735734,41.27529532993497,11.541751492059088,175.5167684713134,58.23537962819801,175.5167684713134,12.78139332297946,151.49923781209938,57.232358465142056,151.49923781209938,16.324241902876558,131.81510039288364,53.22110319452501,131.81510039288364
292,403,120076.92000951032,508,99.20751272323143,16.67042392612658,120076.92000951032,81.47884147012547,71.06271169063221,14.139177361079835,71.06271169063221,83.86083874642651,128.51085864002923,14.107026242865171,128.51085864002923,85.47511815996248,120.354441503052,14.012470256697238,120.354441503052,83.94303453042079,111.38193399462531,16.829825905741775,111.38193399462531
293,809,961404.0196137507,1850,56.70560330405432,7.409701827119233,961404.0196137507,51.865682818650384,372.63222283532144,36.556968893119425,372.63222283532144,48.83075117347437,745.1236300816264,38.39361598554265,745.1236300816264,50.70875439950009,550.5643255992347,33.624582679833814,550.5643255992347,43.26377624564337,459.69252577746306,30.074713610926235,459.69252577746306
294,967,574489.9053122917,158,14.19194275932443,46.772410108572345,574489.9053122917,21.894970516646474,33.107297231158086,50.7754843314011,33.107297231158086,19.0583652967441,41.64448933264157,52.193409339082464,41.64448933264157,19.947350668724038,41.28798767409321,51.896369146020284,41.28798767409321,20.292220120978,37.39469493406311,50.7215332140513,37.39469493406311
